Date,S&P500,VIX指数,FANG+,2244(US Tech),米国10年債利回り,HYG(ハイ債),LQD(適格債),ゴールド(GLDM),ドル円,ドル指数,HYG/LQD
2026-01-03 18:57,6858.47021484375,14.510000228881836,67.0199966430664,3158.0,4.186999797821045,80.66999816894531,110.16000366210938,85.73999786376953,156.7310028076172,98.41999816894533,0.7322984339795602
2026-01-03 20:28,6858.47021484375,14.510000228881836,67.0199966430664,3158.0,4.186999797821045,80.66999816894531,110.16000366210938,85.73999786376953,156.7310028076172,98.41999816894533,0.7322984339795602
2026-01-03 21:33,6858.47021484375,14.510000228881836,67.0199966430664,3158.0,4.186999797821045,80.66999816894531,110.16000366210938,85.73999786376953,156.7310028076172,98.41999816894533,0.7322984339795602
2026-01-04 09:37,6858.47021484375,14.510000228881836,67.0199966430664,3158.0,4.186999797821045,80.66999816894531,110.16000366210938,85.73999786376953,156.7310028076172,98.43299865722656,0.7322984339795602
2026-01-04 21:33,6858.47021484375,14.510000228881836,67.0199966430664,3158.0,4.186999797821045,80.66999816894531,110.16000366210938,85.73999786376953,156.6820068359375,98.43299865722656,0.7322984339795602
2026-01-05 09:57,6858.47021484375,15.199999809265137,67.0199966430664,3145.0,4.186999797821045,80.66999816894531,110.16000366210938,85.73999786376953,156.93499755859375,98.74600219726562,0.7322984339795602
2026-01-05 21:40,6902.0498046875,14.899999618530272,67.45999908447266,3145.0,4.164999961853027,80.87999725341797,110.47000122070312,88.0,156.38999938964844,98.31300354003906,0.7321444406597897
2026-01-06 09:50,6902.0498046875,15.119999885559082,67.45999908447266,3167.0,4.164999961853027,80.87999725341797,110.47000122070312,88.0,156.36900329589844,98.37799835205078,0.7321444406597897
2026-01-06 21:40,6944.81982421875,14.75,67.75,3167.0,4.178999900817871,80.90499877929688,110.47000122070312,88.94999694824219,156.64700317382812,98.61699676513672,0.7323707602542735
2026-01-07 09:53,6944.81982421875,15.100000381469727,67.75,3177.0,4.178999900817871,80.9000015258789,110.47000122070312,88.95999908447266,156.47900390625,98.60399627685547,0.7323255239605942
